SETTLEMENTDATE,TOTALDEMAND,SOLAR,WIND
2016-11-01 00:30:00,6960.11,0,0.2228864732
2016-11-01 01:00:00,6786,0,0.217176353
2016-11-01 01:30:00,6489.62,0,0.20922483
2016-11-01 02:00:00,6265.85,0,0.3030450701
2016-11-01 02:30:00,6068.98,0,0.3210399444
2016-11-01 03:00:00,5946.77,0,0.2811453343
2016-11-01 03:30:00,5926.12,0,0.2469814833
2016-11-01 04:00:00,6044.7,0,0.1883249936
2016-11-01 04:30:00,6308.53,0,0.1567953329
2016-11-01 05:00:00,6622.56,0,0.0800733328
2016-11-01 05:30:00,7138.13,0,0.0833691971
2016-11-01 06:00:00,7673.8,0.0324061922,0.0792220111
2016-11-01 06:30:00,7971.22,0.0794916765,0.0805153215
2016-11-01 07:00:00,8210.12,0.1762371226,0.0473108934
2016-11-01 07:30:00,8151.11,0.432239754,0.0495956254
2016-11-01 08:00:00,7998.21,0.4117517167,0.0772933419
2016-11-01 08:30:00,8038.39,0.7017791648,0.1063631872
2016-11-01 09:00:00,7983.32,0.8346414417,0.1711531523
2016-11-01 09:30:00,7958.38,0.9513575278,0.3041759736
2016-11-01 10:00:00,7824.02,0.9684736359,0.4331168985
2016-11-01 10:30:00,7775.21,0.9960947946,0.6018707354
2016-11-01 11:00:00,7693.13,0.9986708924,0.7167925181
2016-11-01 11:30:00,7605.47,0.9889490348,0.7700162589
2016-11-01 12:00:00,7549.63,0.9954302732,0.8068517701
2016-11-01 12:30:00,7503.49,0.9986708924,0.8767039987
2016-11-01 13:00:00,7489.89,0.9986708924,0.9006117497
2016-11-01 13:30:00,7463.16,0.9993354138,0.9298138668
2016-11-01 14:00:00,7433.05,0.9993354138,0.9380170028
2016-11-01 14:30:00,7360.96,0.9734104601,0.9567102393
2016-11-01 15:00:00,7534.98,0.8921624328,0.8884226646
2016-11-01 15:30:00,7685.28,0.7747247904,0.8935676104
2016-11-01 16:00:00,7780.3,0.6401868541,0.8581879093
2016-11-01 16:30:00,7910.92,0.4468905935,0.8678109953
2016-11-01 17:00:00,7992.15,0.3013839388,0.9068714127
2016-11-01 17:30:00,7972.97,0.1742956028,0.8452616708
2016-11-01 18:00:00,8043.44,0.0681843135,0.9103965049
2016-11-01 18:30:00,8056.37,0.0173929867,0.7773408569
2016-11-01 19:00:00,8166.89,0.0016203096,0.7118355568
2016-11-01 19:30:00,8054.66,0,0.7107617191
2016-11-01 20:00:00,7923.33,0,0.6849955686
2016-11-01 20:30:00,7739.21,0,0.6874038967
2016-11-01 21:00:00,7485.85,0,0.6702524501
2016-11-01 21:30:00,7419.03,0,0.6280486882
2016-11-01 22:00:00,7240.11,0,0.6355272031
2016-11-01 22:30:00,7257.78,0,0.553480924
2016-11-01 23:00:00,7220.89,0,0.5676220404
2016-11-01 23:30:00,7089.23,0,0.523197566
2016-11-02 00:00:00,7015.22,0,0.4405790513
