SETTLEMENTDATE,SOLAR
2017-01-08 00:05:00,0
2017-01-08 00:10:00,0
2017-01-08 00:15:00,0
2017-01-08 00:20:00,0
2017-01-08 00:25:00,0
2017-01-08 00:30:00,0
2017-01-08 00:35:00,0
2017-01-08 00:40:00,0
2017-01-08 00:45:00,0
2017-01-08 00:50:00,0
2017-01-08 00:55:00,0
2017-01-08 01:00:00,0
2017-01-08 01:05:00,0
2017-01-08 01:10:00,0
2017-01-08 01:15:00,0
2017-01-08 01:20:00,0
2017-01-08 01:25:00,0
2017-01-08 01:30:00,0
2017-01-08 01:35:00,0
2017-01-08 01:40:00,0
2017-01-08 01:45:00,0
2017-01-08 01:50:00,0
2017-01-08 01:55:00,0
2017-01-08 02:00:00,0
2017-01-08 02:05:00,0
2017-01-08 02:10:00,0
2017-01-08 02:15:00,0
2017-01-08 02:20:00,0
2017-01-08 02:25:00,0
2017-01-08 02:30:00,0
2017-01-08 02:35:00,0
2017-01-08 02:40:00,0
2017-01-08 02:45:00,0
2017-01-08 02:50:00,0
2017-01-08 02:55:00,0
2017-01-08 03:00:00,0
2017-01-08 03:05:00,0
2017-01-08 03:10:00,0
2017-01-08 03:15:00,0
2017-01-08 03:20:00,0
2017-01-08 03:25:00,0
2017-01-08 03:30:00,0
2017-01-08 03:35:00,0
2017-01-08 03:40:00,0
2017-01-08 03:45:00,0
2017-01-08 03:50:00,0
2017-01-08 03:55:00,0
2017-01-08 04:00:00,0
2017-01-08 04:05:00,0
2017-01-08 04:10:00,0
2017-01-08 04:15:00,0
2017-01-08 04:20:00,0
2017-01-08 04:25:00,0
2017-01-08 04:30:00,0
2017-01-08 04:35:00,0
2017-01-08 04:40:00,0
2017-01-08 04:45:00,0
2017-01-08 04:50:00,0
2017-01-08 04:55:00,0
2017-01-08 05:00:00,0
2017-01-08 05:05:00,0
2017-01-08 05:10:00,0
2017-01-08 05:15:00,0
2017-01-08 05:20:00,0
2017-01-08 05:25:00,0
2017-01-08 05:30:00,0
2017-01-08 05:35:00,0
2017-01-08 05:40:00,0.0065004109
2017-01-08 05:45:00,0.0130008217
2017-01-08 05:50:00,0.0130008217
2017-01-08 05:55:00,0.0130008217
2017-01-08 06:00:00,0.0195012326
2017-01-08 06:05:00,0.0260016434
2017-01-08 06:10:00,0.0325020543
2017-01-08 06:15:00,0.0325020543
2017-01-08 06:20:00,0.0390024652
2017-01-08 06:25:00,0.0424113456
2017-01-08 06:30:00,0.0431508974
2017-01-08 06:35:00,0.0451458084
2017-01-08 06:40:00,0.048476944
2017-01-08 06:45:00,0.0876317788
2017-01-08 06:50:00,0.1059617673
2017-01-08 06:55:00,0.1222874192
2017-01-08 07:00:00,0.11328266
2017-01-08 07:05:00,0.1536166693
2017-01-08 07:10:00,0.1939506136
2017-01-08 07:15:00,0.2044439669
2017-01-08 07:20:00,0.2059293758
2017-01-08 07:25:00,0.2402930177
2017-01-08 07:30:00,0.2467347299
2017-01-08 07:35:00,0.2528621472
2017-01-08 07:40:00,0.2726554432
2017-01-08 07:45:00,0.3136559396
2017-01-08 07:50:00,0.3607252196
2017-01-08 07:55:00,0.391029225
2017-01-08 08:00:00,0.4344943522
2017-01-08 08:05:00,0.4541511396
2017-01-08 08:10:00,0.4843012153
2017-01-08 08:15:00,0.4811732176
2017-01-08 08:20:00,0.4725382668
2017-01-08 08:25:00,0.4444005233
2017-01-08 08:30:00,0.5459011887
2017-01-08 08:35:00,0.5097760004
2017-01-08 08:40:00,0.5710966512
2017-01-08 08:45:00,0.6088644283
2017-01-08 08:50:00,0.6365102206
2017-01-08 08:55:00,0.6441849957
2017-01-08 09:00:00,0.6631767911
2017-01-08 09:05:00,0.6701866391
2017-01-08 09:10:00,0.6858520443
2017-01-08 09:15:00,0.6968548347
2017-01-08 09:20:00,0.7026886934
2017-01-08 09:25:00,0.7170210593
2017-01-08 09:30:00,0.7506546401
2017-01-08 09:35:00,0.7743074901
2017-01-08 09:40:00,0.8140875994
2017-01-08 09:45:00,0.8806310703
2017-01-08 09:50:00,0.8349219362
2017-01-08 09:55:00,0.8500731589
2017-01-08 10:00:00,0.8597459652
2017-01-08 10:05:00,0.8968694216
2017-01-08 10:10:00,0.9196367206
2017-01-08 10:15:00,0.9544637769
2017-01-08 10:20:00,0.9245088436
2017-01-08 10:25:00,0.9409931705
2017-01-08 10:30:00,0.9095544534
2017-01-08 10:35:00,0.9554826513
