SETTLEMENTDATE,WIND
2017-01-08 00:05:00,0.7695079614
2017-01-08 00:10:00,0.753598971
2017-01-08 00:15:00,0.7616582631
2017-01-08 00:20:00,0.7574339198
2017-01-08 00:25:00,0.7549596978
2017-01-08 00:30:00,0.7604268658
2017-01-08 00:35:00,0.7818009835
2017-01-08 00:40:00,0.7870974655
2017-01-08 00:45:00,0.7934182903
2017-01-08 00:50:00,0.7734253056
2017-01-08 00:55:00,0.7369648825
2017-01-08 01:00:00,0.7262353335
2017-01-08 01:05:00,0.7126945438
2017-01-08 01:10:00,0.6814667087
2017-01-08 01:15:00,0.6589060419
2017-01-08 01:20:00,0.6239096007
2017-01-08 01:25:00,0.5832212065
2017-01-08 01:30:00,0.5784949628
2017-01-08 01:35:00,0.5347770276
2017-01-08 01:40:00,0.5138074957
2017-01-08 01:45:00,0.4801470671
2017-01-08 01:50:00,0.4646355431
2017-01-08 01:55:00,0.4471063958
2017-01-08 02:00:00,0.4457788176
2017-01-08 02:05:00,0.4729136797
2017-01-08 02:10:00,0.4754198259
2017-01-08 02:15:00,0.4652540305
2017-01-08 02:20:00,0.4559860601
2017-01-08 02:25:00,0.438606966
2017-01-08 02:30:00,0.4285104609
2017-01-08 02:35:00,0.4127023675
2017-01-08 02:40:00,0.4122112144
2017-01-08 02:45:00,0.4036974549
2017-01-08 02:50:00,0.4067855389
2017-01-08 02:55:00,0.4016717146
2017-01-08 03:00:00,0.3958571434
2017-01-08 03:05:00,0.3902746581
2017-01-08 03:10:00,0.3843064513
2017-01-08 03:15:00,0.3706159713
2017-01-08 03:20:00,0.4011952992
2017-01-08 03:25:00,0.4003194677
2017-01-08 03:30:00,0.3910557598
2017-01-08 03:35:00,0.4160286139
2017-01-08 03:40:00,0.4090279471
2017-01-08 03:45:00,0.4191798209
2017-01-08 03:50:00,0.4036686596
2017-01-08 03:55:00,0.4316744557
2017-01-08 04:00:00,0.4388393693
2017-01-08 04:05:00,0.4555468746
2017-01-08 04:10:00,0.4905917464
2017-01-08 04:15:00,0.5024512061
2017-01-08 04:20:00,0.5489215216
2017-01-08 04:25:00,0.559612571
2017-01-08 04:30:00,0.5964163615
2017-01-08 04:35:00,0.5834054966
2017-01-08 04:40:00,0.592774092
2017-01-08 04:45:00,0.6014924117
2017-01-08 04:50:00,0.5832404336
2017-01-08 04:55:00,0.6013833523
2017-01-08 05:00:00,0.5827115971
2017-01-08 05:05:00,0.5595952485
2017-01-08 05:10:00,0.5683608197
2017-01-08 05:15:00,0.5747256765
2017-01-08 05:20:00,0.5857413196
2017-01-08 05:25:00,0.5995878386
2017-01-08 05:30:00,0.626955648
2017-01-08 05:35:00,0.6412238033
2017-01-08 05:40:00,0.6515014242
2017-01-08 05:45:00,0.6469953855
2017-01-08 05:50:00,0.6474751566
2017-01-08 05:55:00,0.6524526678
2017-01-08 06:00:00,0.6424179253
2017-01-08 06:05:00,0.6544488872
2017-01-08 06:10:00,0.6663473
2017-01-08 06:15:00,0.6526499725
2017-01-08 06:20:00,0.6530327011
2017-01-08 06:25:00,0.612383396
2017-01-08 06:30:00,0.6130518558
2017-01-08 06:35:00,0.5946277859
2017-01-08 06:40:00,0.5840326907
2017-01-08 06:45:00,0.5882343152
2017-01-08 06:50:00,0.5947951162
2017-01-08 06:55:00,0.5789449409
2017-01-08 07:00:00,0.5590560729
2017-01-08 07:05:00,0.5494935284
2017-01-08 07:10:00,0.5290166007
2017-01-08 07:15:00,0.4942394575
2017-01-08 07:20:00,0.4525091711
2017-01-08 07:25:00,0.4513930005
2017-01-08 07:30:00,0.4405950229
2017-01-08 07:35:00,0.3963292508
2017-01-08 07:40:00,0.3992830624
2017-01-08 07:45:00,0.4547862697
2017-01-08 07:50:00,0.4705648421
2017-01-08 07:55:00,0.4959403774
2017-01-08 08:00:00,0.5399716149
2017-01-08 08:05:00,0.5548085573
2017-01-08 08:10:00,0.5283557592
2017-01-08 08:15:00,0.5246674625
2017-01-08 08:20:00,0.5305894607
2017-01-08 08:25:00,0.4823724702
2017-01-08 08:30:00,0.4410820042
2017-01-08 08:35:00,0.4529689895
2017-01-08 08:40:00,0.4539307082
2017-01-08 08:45:00,0.4671337989
2017-01-08 08:50:00,0.5019163384
2017-01-08 08:55:00,0.5093086218
2017-01-08 09:00:00,0.5887194825
2017-01-08 09:05:00,0.6108065001
2017-01-08 09:10:00,0.6161654702
2017-01-08 09:15:00,0.6061975736
2017-01-08 09:20:00,0.5965599436
2017-01-08 09:25:00,0.6237714375
2017-01-08 09:30:00,0.6898742792
2017-01-08 09:35:00,0.6872037864
2017-01-08 09:40:00,0.6456886216
2017-01-08 09:45:00,0.6497009677
2017-01-08 09:50:00,0.6316676981
2017-01-08 09:55:00,0.714288989
2017-01-08 10:00:00,0.6574860421
2017-01-08 10:05:00,0.6903575737
2017-01-08 10:10:00,0.6818124341
2017-01-08 10:15:00,0.7135332135
2017-01-08 10:20:00,0.7345386512
2017-01-08 10:25:00,0.7457439807
2017-01-08 10:30:00,0.6952862553
2017-01-08 10:35:00,0.8303825003
2017-01-08 10:40:00,0.7885296637
2017-01-08 10:45:00,0.8712833088
2017-01-08 10:50:00,0.859355348
2017-01-08 10:55:00,0.8730575819
2017-01-08 11:00:00,0.8664416435
2017-01-08 11:05:00,0.9374350617
2017-01-08 11:10:00,0.9883447514
2017-01-08 11:15:00,0.9719593774
2017-01-08 11:20:00,1
2017-01-08 11:25:00,0.9726972453
2017-01-08 11:30:00,0.89797241
2017-01-08 11:35:00,0.9396337554
2017-01-08 11:40:00,0.8878676018
2017-01-08 11:45:00,0.970881321
2017-01-08 11:50:00,0.8253120186
2017-01-08 11:55:00,0.8646206629
2017-01-08 12:00:00,0.9667790336
2017-01-08 12:05:00,0.9837709779
2017-01-08 12:10:00,0.9038879236
2017-01-08 12:15:00,0.9303139443
2017-01-08 12:20:00,0.9193375218
2017-01-08 12:25:00,0.8593758221
2017-01-08 12:30:00,0.780729906
2017-01-08 12:35:00,0.7452191574
2017-01-08 12:40:00,0.7486814221
2017-01-08 12:45:00,0.7118839575
2017-01-08 12:50:00,0.708623564
2017-01-08 12:55:00,0.8027414662
2017-01-08 13:00:00,0.7508733636
2017-01-08 13:05:00,0.8813516262
2017-01-08 13:10:00,0.9293008564
